YEAR,Education,Unnamed: 0,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Response,Data_Value_Type,Data_Value_Rate,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
1999,High School,129,129,129,129,129,102,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
1999,Middle School,243,243,243,243,243,192,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243
2000,High School,569,569,569,569,569,432,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569
2000,Middle School,633,633,633,633,633,486,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633
2001,High School,165,165,165,165,165,126,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
2001,Middle School,255,255,255,255,255,198,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
2002,High School,472,472,472,472,472,360,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472
2002,Middle School,525,525,525,525,525,414,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525
2003,High School,213,213,213,213,213,162,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
2003,Middle School,272,272,272,272,272,216,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
2004,High School,274,274,274,274,274,216,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
2004,Middle School,307,307,307,307,307,252,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307
2005,High School,318,318,318,318,318,243,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318
2005,Middle School,297,297,297,297,297,243,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297
2006,High School,259,259,259,259,259,198,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259
2006,Middle School,242,242,242,242,242,198,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242
2007,High School,255,255,255,255,255,201,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
2007,Middle School,239,239,239,239,239,201,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
2008,High School,219,219,219,219,219,177,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
2008,Middle School,242,242,242,242,242,213,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242
2009,High School,319,319,319,319,319,252,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319
2009,Middle School,335,335,335,335,335,288,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335
2010,High School,222,222,222,222,222,180,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
2010,Middle School,203,203,203,203,203,180,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
2011,High School,269,269,269,269,269,216,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269
2011,Middle School,228,228,228,228,228,198,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
2012,High School,125,125,125,125,125,108,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
2012,Middle School,98,98,98,98,98,90,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2013,High School,308,308,308,308,308,234,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308
2013,Middle School,323,323,323,323,323,288,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
2014,High School,167,167,167,167,167,126,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167
2014,Middle School,134,134,134,134,134,126,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
2015,High School,282,282,282,282,282,216,282,282,282,282,282,282,282,282,282,280,282,282,282,282,282,282,282,282,282
2015,Middle School,228,228,228,228,228,216,228,228,228,228,228,228,228,228,228,226,228,228,228,228,228,228,228,228,228
2016,High School,86,86,86,86,86,72,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
2016,Middle School,132,132,132,132,132,123,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
