YEAR,Gender,sum,count
1999,Female,149192.0,124
1999,Male,146235.0,124
1999,Overall,296357.0,124
2000,Female,533488.0,399
2000,Male,512107.0,399
2000,Overall,1049514.0,404
2001,Female,217281.0,140
2001,Male,214340.0,138
2001,Overall,433495.0,142
2002,Female,675333.0,331
2002,Male,642476.0,326
2002,Overall,1327507.0,340
2003,Female,290821.0,159
2003,Male,271701.0,160
2003,Overall,565013.0,166
2004,Female,182659.0,191
2004,Male,176661.0,190
2004,Overall,364866.0,200
2005,Female,158246.0,202
2005,Male,153513.0,203
2005,Overall,313604.0,210
2006,Female,150003.0,163
2006,Male,145936.0,164
2006,Overall,300508.0,174
2007,Female,136711.0,165
2007,Male,132643.0,160
2007,Overall,270810.0,169
2008,Female,138957.0,150
2008,Male,137405.0,151
2008,Overall,278029.0,160
2009,Female,171003.0,212
2009,Male,164465.0,217
2009,Overall,340380.0,225
2010,Female,128868.0,138
2010,Male,125594.0,139
2010,Overall,256266.0,148
2011,Female,159867.0,161
2011,Male,154624.0,161
2011,Overall,318585.0,175
2012,Female,58274.0,71
2012,Male,56956.0,72
2012,Overall,119655.0,80
2013,Female,183272.0,205
2013,Male,179941.0,204
2013,Overall,367747.0,222
2014,Female,85619.0,99
2014,Male,84365.0,97
2014,Overall,173000.0,105
2015,Female,150289.0,162
2015,Male,150442.0,166
2015,Overall,302927.0,178
2016,Female,65309.0,69
2016,Male,65655.0,70
2016,Overall,132422.0,79
