,YEAR,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Response,Data_Value_Type,Data_Value_Rate,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder,latitude,longitude
6,2015,AZ,Arizona,Cigarette Use (Youth),Smoking Status,Current,Percentage,3.2,1.5,0.3,6.1,1377.0,Overall,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7,34.865970280000454,-111.76381127699972
7,2015,AZ,Arizona,Cigarette Use (Youth),Smoking Status,Current,Percentage,3.2,1.5,0.3,6.2,700.0,Male,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7,34.865970280000454,-111.76381127699972
8,2015,AZ,Arizona,Cigarette Use (Youth),Smoking Status,Current,Percentage,3.1,1.6,0.1,6.1,671.0,Female,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7,34.865970280000454,-111.76381127699972
9,2015,AZ,Arizona,Cigarette Use (Youth),Smoking Status,Ever,Percentage,12.5,2.7,7.2,17.9,1331.0,Overall,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8,34.865970280000454,-111.76381127699972
10,2015,AZ,Arizona,Cigarette Use (Youth),Smoking Status,Ever,Percentage,12.9,2.6,7.7,18.1,669.0,Male,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8,34.865970280000454,-111.76381127699972
11,2015,AZ,Arizona,Cigarette Use (Youth),Smoking Status,Ever,Percentage,12.2,3.8,4.8,19.7,656.0,Female,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8,34.865970280000454,-111.76381127699972
12,2015,AZ,Arizona,Cigarette Use (Youth),Smoking Status,Frequent,Percentage,0.5,0.3,0.0,1.1,1377.0,Overall,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS09,9,34.865970280000454,-111.76381127699972
13,2015,AZ,Arizona,Cigarette Use (Youth),Smoking Status,Frequent,Percentage,0.8,0.6,0.0,1.9,700.0,Male,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9,34.865970280000454,-111.76381127699972
14,2015,AZ,Arizona,Cigarette Use (Youth),Smoking Status,Frequent,Percentage,0.1,0.1,0.0,0.3,671.0,Female,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9,34.865970280000454,-111.76381127699972
15,2015,AZ,Arizona,Smokeless Tobacco Use (Youth),User Status,Current,Percentage,1.0,0.3,0.3,1.7,1373.0,Overall,All Races,All Ages,Middle School,"34.865970280000454, -111.76381127699972",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10,34.865970280000454,-111.76381127699972
